Architecture    Offer                   Publisher    Sku                              Urn                                                                         Version
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202502190                          24.04.202502190
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202502210                          24.04.202502210
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202502280                          24.04.202502280
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202504150                          24.04.202504150
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202504250                          24.04.202504250
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202505020                          24.04.202505020
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202505200                          24.04.202505200
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202506070                          24.04.202506070
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202506300                          24.04.202506300
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202507080                          24.04.202507080
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202507240                          24.04.202507240
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202507300                          24.04.202507300
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202508200                          24.04.202508200
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202508220                          24.04.202508220
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202509090                          24.04.202509090
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202509300                          24.04.202509300
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202510130                          24.04.202510130
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202510210                          24.04.202510210
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202512181                          24.04.202512181
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202601300                          24.04.202601300
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202603310                          24.04.202603310
x64             ubuntu-24_04-lts        Canonical    minimal                          Canonical:ubuntu-24_04-lts:minimal:24.04.202604160                          24.04.202604160
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202409030                    24.04.202409030
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202409100                    24.04.202409100
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202409260                    24.04.202409260
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202410010                    24.04.202410010
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202410020                    24.04.202410020
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202410030                    24.04.202410030
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202410170                    24.04.202410170
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202411010                    24.04.202411010
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202501100                    24.04.202501100
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202502030                    24.04.202502030
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202502190                    24.04.202502190
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202502210                    24.04.202502210
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202502280                    24.04.202502280
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202504150                    24.04.202504150
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202504250                    24.04.202504250
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202505020                    24.04.202505020
Arm64           ubuntu-24_04-lts        Canonical    minimal-arm64                    Canonical:ubuntu-24_04-lts:minimal-arm64:24.04.202505200                    24.04.202505200
